date,ave_temp,min_temp,max_temp,motor_actual,min_forcast,max_forecast,motor_est,resid,synthetic_event,synthetic_event_type
2020-01-01,0.56,-2.82,2.15,46.53,-1.16,2.48,51.06,-4.530000000000001,0,
2020-01-02,-9.0,-11.29,-4.47,47.9,-11.06,-4.52,48.67,-0.7700000000000031,0,
2020-01-03,0.35,-4.32,1.38,47.77,-3.88,1.91,50.91,-3.139999999999993,0,
2020-01-04,-1.77,-5.86,3.87,50.51,-5.33,4.38,52.65,-2.140000000000001,0,
2020-01-05,1.28,-3.17,5.74,52.54,-1.77,5.08,50.36,2.18,0,
2020-01-06,-4.47,-8.19,1.7,55.67,-8.18,1.09,49.49,6.18,0,
2020-01-07,-0.3,-2.88,4.03,54.27,-1.36,3.97,52.81,1.4600000000000009,0,
2020-01-08,5.12,-0.41,7.91,47.72,-1.09,8.03,52.15,-4.43,0,
2020-01-09,-0.72,-5.14,0.99,50.55,-3.29,2.7,48.91,1.6400000000000006,0,
2020-01-10,4.83,0.79,7.33,56.18,3.02,7.02,51.75,4.43,0,
2020-01-11,-2.72,-6.19,0.59,46.55,-6.1,1.37,48.81,-2.260000000000005,0,
2020-01-12,1.03,-2.21,2.76,48.8,-3.12,2.34,49.3,-0.5,0,
2020-01-13,4.63,0.82,5.22,50.88,0.85,3.85,50.83,0.0500000000000042,0,
2020-01-14,-0.74,-4.87,0.48,43.61,-4.73,-0.54,46.52,-2.910000000000004,0,
2020-01-15,-2.0,-6.32,3.79,49.76,-5.39,4.77,47.36,2.3999999999999986,0,
2020-01-16,-2.41,-5.73,0.94,48.17,-7.29,0.31,48.62,-0.4499999999999957,0,
2020-01-17,1.36,-2.4,5.72,50.43,-1.36,5.88,48.88,1.5499999999999972,0,
2020-01-18,-0.86,-5.93,1.03,46.52,-5.37,-0.06,49.8,-3.279999999999994,0,
2020-01-19,-2.8,-6.32,-1.57,45.93,-6.13,-1.76,47.55,-1.6199999999999974,0,
2020-01-20,-5.87,-8.68,-3.4,49.1,-8.84,-3.01,46.43,2.6700000000000017,0,
2020-01-21,-11.91,-14.86,-7.29,48.47,-15.13,-8.42,49.85,-1.3800000000000026,0,
2020-01-22,-0.71,-4.21,0.71,55.42,-2.02,0.98,49.03,6.390000000000001,0,
2020-01-23,-8.22,-12.76,-3.61,46.9,-13.6,-2.86,48.38,-1.480000000000004,0,
2020-01-24,0.34,-3.83,4.72,48.78,-4.42,5.14,47.95,0.8299999999999983,0,
2020-01-25,4.82,3.78,10.92,54.28,5.3,12.42,50.83,3.450000000000003,0,
2020-01-26,-2.49,-6.7,3.59,44.73,-8.77,5.25,49.98,-5.25,0,
2020-01-27,-2.75,-3.95,2.3,41.59,-3.85,1.38,48.11,-6.519999999999996,0,
2020-01-28,-0.87,-3.52,2.7,44.75,-3.46,3.28,50.39,-5.640000000000001,0,
2020-01-29,1.23,-0.51,8.24,54.79,-1.35,8.2,50.12,4.670000000000002,0,
2020-01-30,-9.35,-14.77,-7.28,45.04,-13.72,-7.11,47.08,-2.039999999999999,0,
2020-01-31,-4.83,-10.25,-3.38,55.47,-10.07,-2.38,47.47,8.0,0,
2020-02-01,0.32,-0.75,3.82,50.95,0.97,4.22,53.04,-2.0899999999999963,0,
2020-02-02,3.22,-1.83,5.41,50.96,-2.69,6.19,50.27,0.6899999999999977,0,
2020-02-03,3.53,0.01,6.17,54.72,-0.57,5.66,49.02,5.699999999999996,0,
2020-02-04,2.39,-0.83,8.74,59.77,0.23,9.8,52.35,7.420000000000002,0,
2020-02-05,6.68,2.89,9.59,57.15,1.96,9.31,49.52,7.6299999999999955,0,
